eleccion_tipo,provincia,agrupacion,porc_votos
GENERAL,Entre Ríos,JUNTOS POR EL CAMBIO,0.300921822
GENERAL,Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.015327659
GENERAL,Entre Ríos,HACEMOS POR NUESTRO PAIS,0.053718879
PASO,Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.014641306
PASO,Entre Ríos,LA LIBERTAD AVANZA,0.257001888
PASO,Entre Ríos,JUNTOS POR EL CAMBIO,0.375315482
PASO,Entre Ríos,HACEMOS POR NUESTRO PAIS,0.013749931
PASO,Entre Ríos,UNION POR LA PATRIA,0.339291393
GENERAL,Formosa,LA LIBERTAD AVANZA,0.29041481
GENERAL,Formosa,JUNTOS POR EL CAMBIO,0.153987401
GENERAL,Formosa,HACEMOS POR NUESTRO PAIS,0.024575044
GENERAL,Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.007747302
GENERAL,Formosa,UNION POR LA PATRIA,0.523275443
PASO,Formosa,JUNTOS POR EL CAMBIO,0.227305495
PASO,Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.006997169
PASO,Formosa,LA LIBERTAD AVANZA,0.26703328
PASO,Formosa,HACEMOS POR NUESTRO PAIS,0.010608185
PASO,Formosa,UNION POR LA PATRIA,0.488055872
GENERAL,Jujuy,LA LIBERTAD AVANZA,0.373864602
GENERAL,Jujuy,JUNTOS POR EL CAMBIO,0.199402865
GENERAL,Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.035425298
GENERAL,Jujuy,HACEMOS POR NUESTRO PAIS,0.068112805
GENERAL,Jujuy,UNION POR LA PATRIA,0.32319443
PASO,Jujuy,UNION POR LA PATRIA,0.22270514
PASO,Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.07392217
PASO,Jujuy,JUNTOS POR EL CAMBIO,0.256103004
PASO,Jujuy,LA LIBERTAD AVANZA,0.428866937
PASO,Jujuy,HACEMOS POR NUESTRO PAIS,0.018402749
GENERAL,La Pampa,JUNTOS POR EL CAMBIO,0.219223269
GENERAL,La Pampa,HACEMOS POR NUESTRO PAIS,0.074436031
GENERAL,La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.023033135
GENERAL,La Pampa,LA LIBERTAD AVANZA,0.335311325
GENERAL,La Pampa,UNION POR LA PATRIA,0.34799624
PASO,La Pampa,UNION POR LA PATRIA,0.296840459
PASO,La Pampa,LA LIBERTAD AVANZA,0.3455683
PASO,La Pampa,HACEMOS POR NUESTRO PAIS,0.039124088
PASO,La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.019264859
PASO,La Pampa,JUNTOS POR EL CAMBIO,0.299202294
GENERAL,La Rioja,LA LIBERTAD AVANZA,0.376537506
GENERAL,La Rioja,JUNTOS POR EL CAMBIO,0.118042457
GENERAL,La Rioja,HACEMOS POR NUESTRO PAIS,0.085146693
GENERAL,La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.009236638
GENERAL,La Rioja,UNION POR LA PATRIA,0.411036706
PASO,La Rioja,UNION POR LA PATRIA,0.327551098
PASO,La Rioja,LA LIBERTAD AVANZA,0.378986857
PASO,La Rioja,HACEMOS POR NUESTRO PAIS,0.072800627
PASO,La Rioja,JUNTOS POR EL CAMBIO,0.210485338
PASO,La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.01017608
GENERAL,Mendoza,UNION POR LA PATRIA,0.239813304
GENERAL,Mendoza,LA LIBERTAD AVANZA,0.42357361
GENERAL,Mendoza,JUNTOS POR EL CAMBIO,0.258525312
GENERAL,Mendoza,HACEMOS POR NUESTRO PAIS,0.043279019
GENERAL,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.034808756
PASO,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.032049858
PASO,Mendoza,HACEMOS POR NUESTRO PAIS,0.014121421
PASO,Mendoza,JUNTOS POR EL CAMBIO,0.299666988
PASO,Mendoza,LA LIBERTAD AVANZA,0.475303308
